District IRN,District Name,Address,City,ZIP Code,County,Region,Superintendent,District Phone
045476,Marysville Exempted Village,212 Chestnut St,Marysville,43040-2105,Union,Region 11,Diane M. Allen,(937) 578-6100
045484,Mechanicsburg Exempted Village,60 High St,Mechanicsburg,43044-1071,Champaign,Region 6,Danielle M. Prohaska,(937) 834-2453
045492,Mentor Exempted Village,6451 Center St,Mentor,44060-4109,Lake,Region 4,Craig M. Heath,(440) 255-4444
045500,Milford Exempted Village,1099 State Route 131,Milford,45150-1607,Clermont,Region 13,John W. Spieser,(513) 831-1314
045518,Milton-Union Exempted Village,7610 Milton Potsdam Rd,West Milton,45383-9602,Miami,Region 10,Brad M. Ritchey,(937) 884-7910
045526,Montpelier Exempted Village,1015 E Brown Rd,Montpelier,43543-2026,Williams,Region 1,Travis L. Lichty,(419) 485-6700
045534,Mount Gilead Exempted Village,145 N Cherry St,Mount Gilead,43338-1266,Morrow,Region 7,Zachary B. Howard,(419) 946-1646
045542,Newcomerstown Exempted Village,702 S River St,Newcomerstown,43832-1450,Tuscarawas,Region 12,Jason C. Peoples,(740) 498-8373
045559,New Richmond Exempted Village,1135 Bethel New Richmond Rd,New Richmond,45157-8530,Clermont,Region 13,Tracey D. Miller,(513) 553-2616
045567,Newton Falls Exempted Village,909 1/2 Milton Blvd,Newton Falls,44444-9707,Trumbull,Region 5,Andreas E. Johansson,(330) 872-5445
045575,Paulding Exempted Village,405 N Water St,Paulding,45879-1251,Paulding,Region 1,Christopher D. Etzler,(419) 399-4656
045583,Perrysburg Exempted Village,140 E Indiana Ave,Perrysburg,43551-2261,Wood,Region 1,Thomas L. Hosler,(419) 874-9131
045591,Rittman Exempted Village,100 Saurer St,Rittman,44270-1259,Wayne,Region 9,James J. Ritchie,(330) 927-7400
045609,Rossford Exempted Village,701 Superior St,Rossford,43460-1317,Wood,Region 1,Daniel Creps,(419) 666-2010
045617,Tipp City Exempted Village,90 S Tippecanoe Dr,Tipp City,45371-1139,Miami,Region 10,Aaron M. Moran,(937) 667-8444
045625,Upper Sandusky Exempted Village,800 N Sandusky Ave,Upper Sandusky,43351-1032,Wyandot,Region 7,Eric D. Landversicht,(419) 294-2307
045633,Versailles Exempted Village,459 S Center St,Versailles,45380-1105,Darke,Region 10,David L. Harmon,(937) 526-4773
045641,Wauseon Exempted Village,930 E Oak St,Wauseon,43567-1350,Fulton,Region 1,Troy A. Armstrong,(419) 335-6616
045658,Wellington Exempted Village,305 Union St,Wellington,44090-1072,Lorain,Region 2,Andrew J. Peltz,(440) 647-4286
045666,Windham Exempted Village,9530 Bauer Ave,Windham,44288-1004,Portage,Region 8,Michael A. Dobran,(330) 326-2711
045674,Yellow Springs Exempted Village,888 Dayton St Unit 106,Yellow Springs,45387-1805,Greene,Region 10,Terri L. Holden,(937) 767-7381
045757,Allen East Local,9105 Harding Hwy,Harrod,45850-9485,Allen,Region 6,Mel L. Rentschler,(419) 648-3333
045765,Bath Local,2650 Bible Rd,Lima,45801-2246,Allen,Region 6,Michael Y. Estes,(419) 221-0807
045773,Elida Local,4380 Sunnydale St,Elida,45807-9593,Allen,Region 6,Joel W. Mengerink,(419) 338-6804
045781,Perry Local,2770 E Breese Rd,Lima,45806-9743,Allen,Region 6,Kelly L. Schooler,(419) 221-2770
045799,Shawnee Local,3255 Zurmehly Rd,Lima,45806-1434,Allen,Region 6,Donald F. Diglia,(419) 998-8031
045807,Spencerville Local,600 School St,Spencerville,45887-1293,Allen,Region 6,Brian D. Woods,(419) 647-4111
045823,Hillsdale Local,479 Township Road 1902,Jeromesville,44840-9754,Ashland,Region 7,Catherine H. Trevathan,(419) 368-8231
045831,Mapleton Local,635 County Road 801,Ashland,44805-9571,Ashland,Region 7,Ronald S. Smith,
045856,Buckeye Local,3436 Edgewood Dr,Ashtabula,44004-5967,Ashtabula,Region 5,Patrick E. Colucci,(440) 998-4411
045864,Grand Valley Local,111 Grand Valley Ave West,Orwell,44076-9420,Ashtabula,Region 5,William R. Nye,(440) 805-4545
045872,Jefferson Area Local,121 S Poplar St,Jefferson,44047-1328,Ashtabula,Region 5,John C. Montanaro,(440) 576-9180
045880,Pymatuning Valley Local,5571 Rt 6 W,Andover,44003,Ashtabula,Region 5,Christopher D. Edison,(440) 293-6488
045906,Alexander Local,6091 Ayers Rd,Albany,45710-9492,Athens,Region 16,William T. Hampton,(740) 698-8831
045914,Federal Hocking Local,8461 State Route 144,Stewart,45778-9501,Athens,Region 16,Jason Spencer,(740) 662-6691
045922,Trimble Local,1 Tomcat Dr,Glouster,45732-9335,Athens,Region 16,John R. Hurd,(740) 767-4444
045948,Minster Local,50 E 7th St,Minster,45865-1095,Auglaize,Region 6,Joshua E. Meyer,(419) 628-3397
045955,New Bremen Local,901 E Monroe St,New Bremen,45869-9685,Auglaize,Region 6,Jason A. Schrader,(419) 629-8606
045963,New Knoxville Local,345 S Main St,New Knoxville,45871-0476,Auglaize,Region 6,Kimberly S. Waterman,(419) 753-2431
045971,Waynesfield-Goshen Local,500 N Westminster St,Waynesfield,45896-9448,Auglaize,Region 6,Timothy J. Pence,(419) 568-9100
045997,St Clairsville-Richland City,108 Woodrow Ave,Saint Clairsville,43950-1567,Belmont,Region 12,Walter E. Skaggs,(740) 695-1624
046003,Shadyside Local,3890 Lincoln Ave,Shadyside,43947-1319,Belmont,Region 12,John M. Haswell,(740) 676-3235
046011,Union Local,66779 Belmont Morristown Rd,Belmont,43718-9568,Belmont,Region 12,Zachary E. Shutler,(740) 782-1978
046037,Eastern Local School District,11479 Us Highway 62,Winchester,45697-9690,Brown,Region 14,Jordan R. Michael,(937) 695-6276
046045,Fayetteville-Perry Local,551 S Apple St,Fayetteville,45118-8461,Brown,Region 14,Timothy S. Carlier,(513) 875-2423
046060,Western Brown Local,524 W Main St,Mount Orab,45154-8262,Brown,Region 14,Raegan L. White,(937) 444-2044
046078,Ripley-Union-Lewis-Huntington Local,502 S 2nd St,Ripley,45167-1306,Brown,Region 14,James L. Wilkins II,(937) 392-4396
046094,Edgewood City School District,3500 Busenbark Rd,Trenton,45067-7612,Butler,Region 13,Kelly L. Spivey,(513) 867-3400
046102,Fairfield City,4641 Bach Ln,Fairfield,45014-1900,Butler,Region 13,Billy J. Smith,(513) 829-6300
046110,Lakota Local,5572 Princeton Rd,Liberty Township,45011-9726,Butler,Region 13,ASHLEY L. WHITELY,(513) 874-5505
046128,Madison Local,1324 Middletown Eaton Rd,Middletown,45042-1525,Butler,Region 13,Jeffery S. Staggs,(513) 420-4750
046136,New Miami Local,600 Seven Mile Ave,Hamilton,45011-5748,Butler,Region 13,Rhonda J. Parker,(513) 863-0833
046144,Ross Local,3371 Hamilton Cleves Rd,Hamilton,45013-9535,Butler,Region 13,William R. Rice,(513) 863-1253
046151,Talawanda City,131 W Chestnut St,Oxford,45056-2619,Butler,Region 13,Edward M. Theroux,(513) 273-3333
046177,Brown Local,3242 Coral Rd NW,Malvern,44644-9467,Carroll,Region 12,Mark D. Scott,(330) 863-1170
046193,Graham Local,9915 US Highway 36,Saint Paris,43072-9496,Champaign,Region 6,Chad A. Lensman,(937) 663-4123
046201,Triad Local,7920 Brush Lake Road,North Lewisburg,43060-9617,Champaign,Region 6,Vickie M. Hoffman,(937) 826-4961
046219,West Liberty-Salem Local,7208 US Highway 68 N,West Liberty,43357-9663,Champaign,Region 6,Kraig E. Hissong,(937) 465-1075
046235,Greenon Local,120 S Xenia Dr,Enon,45323-1759,Clark,Region 10,Darrin K. Knapke,(937) 864-1202
046243,Tecumseh Local,9760 W National Rd,New Carlisle,45344-9290,Clark,Region 10,Paula K. Crew,(937) 845-3576
046250,Northeastern Local,4435 Bosart Rd,Springfield,45503-8826,Clark,Region 10,Jack Fisher,(937) 325-7615
046268,Northwestern Local,5610 Troy Rd,Springfield,45502-9032,Clark,Region 10,Jeffrey M. Patrick,(937) 964-1318
046276,Southeastern Local,226 Clifton Rd,South Charleston,45368-9602,Clark,Region 10,David M. Shea,(937) 462-8388
046284,Clark-Shawnee Local,3680 Selma Rd,Springfield,45502-6310,Clark,Region 10,Brian C. Kuhn,(937) 717-2400
046300,Batavia Local,4 Bulldog Pl,Batavia,45103-1990,Clermont,Region 13,Keith D. Millard,(513) 732-2343
046318,Bethel-Tate Local,675 West Plane Street,Bethel,45106,Clermont,Region 13,Melissa A. Kircher,(513) 734-2271
046326,Clermont Northeastern Local,2792 Us Highway 50,Batavia,45103-8532,Clermont,Region 13,Timothy R. Sies,(513) 625-1211
046334,Felicity-Franklin Local,105 Market St,Felicity,45120-9668,Clermont,Region 13,Robert T. Walker,(513) 362-5348
046342,Goshen Local,6694 Goshen Rd,Goshen,45122-9273,Clermont,Region 13,Brian A. Bailey,(513) 722-2222
046359,West Clermont Local,4350 Aicholtz Rd,Cincinnati,45245-1505,Clermont,Region 13,Natasha L. Adams,(513) 943-5000
046367,Williamsburg Local,549A W Main St,Williamsburg,45176-1110,Clermont,Region 13,Matthew D. Earley,(513) 724-3077
046383,Blanchester Local,957 Cherry St,Blanchester,45107-7846,Clinton,Region 14,Larry R. Dunlap,(937) 783-3523
046391,Clinton-Massie Local,2556 Lebanon Rd,Clarksville,45113-8201,Clinton,Region 14,David E. Moss,(937) 289-2471
046409,East Clinton Local,97 Astro Way,Sabina,45169-9521,Clinton,Region 14,Eric B. Magee,(937) 584-2461
046425,Beaver Local,46088 Bell School Rd,East Liverpool,43920-8774,Columbiana,Region 5,Eric N. Lowe,(330) 385-6831
046433,Crestview Local,44100 Crestview Rd Ste A,Columbiana,44408-9660,Columbiana,Region 5,Daniel C. Hill,(330) 482-5526
046441,Southern Local,38095 State Route 39,Salineville,43945-9726,Columbiana,Region 5,Thomas J. Cunningham,(330) 679-2343
046458,United Local,8143 State Route 9,Hanoverton,44423-8618,Columbiana,Region 5,Lance B. Hostetler,(330) 223-1521
046474,Ridgewood Local,301 S Oak St,West Lafayette,43845-1339,Coshocton,Region 12,Michael A. Masloski,(740) 545-5312
046482,River View Local,26496 State Route 60,Warsaw,43844-9714,Coshocton,Region 12,Charles A. Rinkes,(740) 824-3521
046508,Buckeye Central Local,938 S Kibler St,New Washington,44854-9521,Crawford,Region 7,Mark A. Robinson,(419) 492-2864
046516,Colonel Crawford Local,2303 State Route 602,Crestline,44827-9711,Crawford,Region 7,Michael J. Voll,(419) 562-6755
046524,Wynford Local,3288 Holmes Center Rd,Bucyrus,44820-9463,Crawford,Region 7,Forrest L. Trisler,(419) 562-7828
046557,Cuyahoga Heights Local,4820 E 71st St,Cuyahoga Heights,44125-1043,Cuyahoga,Region 3,William M. Young,(216) 429-5700
046565,Independence Local,7733 Stone Rd,Independence,44131-4813,Cuyahoga,Region 3,Kelli E. Cogan,(216) 642-5850
046573,Olmsted Falls City,26937 Bagley Rd,Olmsted Falls,44138-1161,Cuyahoga,Region 3,James L. Lloyd,(440) 427-6000
046581,Orange City,32000 Chagrin Blvd,Cleveland,44124-5922,Cuyahoga,Region 3,Wendell L. Campbell,(216) 831-8600
046599,Richmond Heights Local,447 Richmond Rd,Richmond Heights,44143-1429,Cuyahoga,Region 3,Marnisha R. Brown,(216) 692-8485
046607,Solon City,33800 Inwood Dr,Solon,44139-4133,Cuyahoga,Region 3,Fred E. Bolden,(440) 248-1600
046623,Ansonia Local,600 E Canal,Ansonia,45303-0279,Darke,Region 10,PJ E. Burgett,(937) 337-4000
046631,Arcanum-Butler Local,2011 Trojan Ave,Arcanum,45304-1381,Darke,Region 10,Johnathan N. Stephens,(937) 692-5174
046649,Franklin Monroe Local,8639 Oakes Rd,Arcanum,45304-9610,Darke,Region 10,Jeremy L. Pequignot,(937) 947-1212
046672,Mississinawa Valley Local,1469 State Road 47 E,Union City,45390-8628,Darke,Region 10,Jeffrey A. Winchester,(937) 968-5656
046680,Tri-Village Local,315 S Main St,New Madison,45346-9797,Darke,Region 10,Joshua M. Sagester,(937) 996-6261
046706,Ayersville Local,28046 Watson Rd,Defiance,43512-8851,Defiance,Region 1,Brian C. Becher,(419) 395-1111
046714,Central Local,6289 Us Highway 127,Sherwood,43556-9735,Defiance,Region 1,Stephen E. Arnold,(419) 658-2808
046722,Northeastern Local,5855 Domersville Rd,Defiance,43512-9121,Defiance,Region 1,NICOLE A. WELLS,(419) 497-3461
046748,Big Walnut Local,110 Tippett Ct,Sunbury,43074-9334,Delaware,Region 11,Ryan P. McLane,(740) 965-3010
046755,Buckeye Valley Local,679 Coover Rd,Delaware,43015-9562,Delaware,Region 11,Richard J. Stranges,(740) 369-8735
046763,Olentangy Local,7840 Graphics Way,Lewis Center,43035-9078,Delaware,Region 11,Todd R. Meyer,(740) 657-4050
046789,Edison Local (formerly Berlin-Milan),140 Main St S,Milan,44846-9735,Erie,Region 2,Corey L. Ream,(419) 499-3000
046805,Margaretta Local,305 S Washington St,Castalia,44824-9263,Erie,Region 2,Edward P. Kurt,(419) 684-5322
046813,Perkins Local,3714 Campbell St Ste B,Sandusky,44870-7232,Erie,Region 2,Lonny J. Rivera,(419) 625-0484
046821,Vermilion Local,1250 Sanford St,Vermilion,44089-1577,Erie,Region 2,David L. Hile,(440) 204-1700
046847,Amanda-Clearcreek Local,328 E Main St,Amanda,43102-9330,Fairfield,Region 11,Timothy R. Edwards,(740) 969-7250
046854,Berne Union Local,506 N Main St,Sugar Grove,43155-0187,Fairfield,Region 11,Jonathan M. Parker,(740) 746-8341
046862,Bloom-Carroll Local,5240 Plum Rd,Carroll,43112-9716,Fairfield,Region 11,Shawn P. Haughn,(740) 756-9700
046870,Fairfield Union Local,6417 Cincinnati Zanesville Rd NE,Lancaster,43130-9323,Fairfield,Region 11,Jon C. Belville,(740) 536-7384
046888,Liberty Union-Thurston Local,1108 S Main St,Baltimore,43105-9700,Fairfield,Region 11,Michael L. Johnson,(740) 862-4171
046896,Pickerington Local,90 East St.,Pickerington,43147-1061,Fairfield,Region 11,Chris M. Briggs,(614) 833-2110
046904,Walnut Township Local,11850 Lancaster St,Millersport,43046,Fairfield,Region 11,Kimberly A. Miller,(740) 467-2802
046920,Miami Trace Local,3818 State Route 41 NW,Washington Court House,43160-9184,Fayette,Region 14,Kimberly S. Pittser,(740) 335-3010
046946,Canal Winchester Local,100 Washington St,Canal Winchester,43110-1224,Franklin,Region 11,Kiya D. Hunt,(614) 837-4533
046953,Hamilton Local,775 Rathmell Rd,Columbus,43207-4737,Franklin,Region 11,Mark M. Tyler,(614) 491-8044
046961,Gahanna-Jefferson City,630 Morrison Rd Ste 200,Gahanna,43230-2919,Franklin,Region 11,Tracey R. Deagle,(614) 471-7065
046979,Groveport Madison Local,4400 Marketing Pl Ste B,Groveport,43125-2009,Franklin,Region 11,James C. Grube,(614) 492-2520
046995,New Albany-Plain Local,55 N High St,New Albany,43054-7099,Franklin,Region 11,Michael L. Sawyers,(614) 855-2040
047001,Reynoldsburg City,7244 E Main St,Reynoldsburg,43068-2014,Franklin,Region 11,Tracy R. Reed,(614) 501-1020
047019,Hilliard City,2140 Atlas St,Columbus,43228-9647,Franklin,Region 11,David J. Stewart,(614) 921-7000
047027,Dublin City,5175 Emerald Pkwy,Dublin,43017-1068,Franklin,Region 11,John C. Marschhausen,(614) 764-5913
047043,Archbold-Area Local,600 Lafayette St,Archbold,43502-1656,Fulton,Region 1,Jayson A. Selgo,(419) 446-2728
047050,Evergreen Local,14544 County Road 6,Metamora,43540-9741,Fulton,Region 1,Eric J. Smola,(419) 644-3521
047068,Fayette Local,400 E Gamble Rd,Fayette,43521-9462,Fulton,Region 1,Angela R. Belcher,(416) 237-2573
047076,Pettisville Local,232 Summit St,Pettisville,43553,Fulton,Region 1,Joshua L. Clark,(419) 446-2705
047084,Pike-Delta-York Local,504 Fernwood St.,Delta,43515-1204,Fulton,Region 1,Jonathan T. Burke,(419) 822-3391
047092,Swanton Local,108 N Main St,Swanton,43558-1032,Fulton,Region 1,Christopher M. Lake,(419) 826-7085
047167,Berkshire Local,14155 Claridon Troy Rd,Burton,44021-9521,Geauga,Region 4,John R. Stoddard,(440) 834-3380
047175,Cardinal Local,15982 E High St,Middlefield,44062-9474,Geauga,Region 4,Jackie L. Cunningham Jr,(440) 632-0261
047183,Chardon Local,428 North St,Chardon,44024-1036,Geauga,Region 4,Michael P. Hanlon,(440) 285-4052
047191,Kenston Local,17419 Snyder Rd,Chagrin Falls,44023-2730,Geauga,Region 4,Bruce R. Willingham,(440) 543-9677
047225,West Geauga Local,8615 Cedar Rd,Chesterland,44026-3519,Geauga,Region 4,Richard A. Markwardt,(440) 729-5900
047241,Beavercreek City,3040 Kemp Rd,Beavercreek,45431-2644,Greene,Region 10,Paul M. Otten,(937) 426-1522
047258,Cedar Cliff Local,248 N Main St,Cedarville,45314-8541,Greene,Region 10,Brian R. Masser,(937) 766-6000
047266,Greeneview Local,4 S Charleston Rd,Jamestown,45335-1520,Greene,Region 10,Sabrina A. Woodruff,(937) 675-2728
047274,Bellbrook-Sugarcreek Local,3757 Upper Bellbrook Rd,Bellbrook,45305-8750,Greene,Region 10,Douglas A. Cozad,(937) 848-5001
047308,Rolling Hills Local,60851 Southgate Rd,Cambridge,43725-8006,Guernsey,Region 12,Devvon C. Dettra,(740) 432-5370
047332,Finneytown Local,8791 Brent Dr,Cincinnati,45231-4806,Hamilton,Region 13,Laurie A. Banks,(513) 728-3700
047340,Forest Hills Local,7946 Beechmont Ave,Cincinnati,45255-4307,Hamilton,Region 13,Larry R. Hook,(513) 231-3600
047365,Northwest Local,3240 Banning Rd,Cincinnati,45239-5207,Hamilton,Region 13,Darrell J. Yater,(513) 923-1000
047373,Oak Hills Local,6325 Rapid Run Rd,Cincinnati,45233-4555,Hamilton,Region 13,Jeffrey T. Brandt,(513) 574-3200
047381,Southwest Local,10800 Campbell Rd,Harrison,45030-1444,Hamilton,Region 13,John C. Hamstra,(513) 367-4139
047399,Three Rivers Local,401 N Miami Ave,Cleves,45002-1024,Hamilton,Region 13,Mark Ault,(513) 941-6400
047415,Arcadia Local,19033 State Route 12,Arcadia,44804-9714,Hancock,Region 1,David M. Golden,(419) 894-6431
047423,Arlington Local,336 S Main St,Arlington,45814,Hancock,Region 1,Kevin S. Haught,(419) 365-5121
047431,Cory-Rawson Local,3930 County Road 26,Rawson,45881-9609,Hancock,Region 1,Jason A. Clark,(419) 963-3415
047449,Liberty-Benton Local,9190 County Road 9,Findlay,45840-8811,Hancock,Region 1,Bruce A. Otley,(419) 422-8526
047456,McComb Local,328 S Todd St,McComb,45858-0877,Hancock,Region 1,Jeremy J. Herr,(419) 293-3979
047464,Van Buren Local,217 S Main St,Van Buren,45889-9720,Hancock,Region 1,Jason R. Inkrott,(419) 299-3863
047472,Vanlue Local,301 S East St,Vanlue,45890,Hancock,Region 1,Traci L. Conley,(419) 387-7724
047498,Hardin Northern Local,11589 State Route 81,Dola,45835-9706,Hardin,Region 6,Andrew K. Cano,(419) 759-2331
047506,Ridgemont Local,560 Taylor St W,Mount Victory,43340-8802,Hardin,Region 6,BRIAN P. Hogan,(937) 354-2441
047514,Riverdale Local,20613 State Route 37,Mt Blanchard,45867-9783,Hancock,Region 6,Greg S. Rossman,(419) 694-2211
047522,Upper Scioto Valley Local,510 S Courtright St,McGuffey,45859,Hardin,Region 6,Craig M. Hurley,(419) 757-3231
047548,Conotton Valley Union Local,7205 Cumberland Rd SW,Bowerston,44695,Harrison,Region 12,John R. Zucal,(740) 269-2000
047571,Holgate Local,801 Joe E Brown Ave,Holgate,43527-9802,Henry,Region 1,Jessica L. Schuette,(419) 264-5141
047589,Liberty Center Local,100 Tiger Trail,Liberty Center,43532,Henry,Region 1,Richard A. Peters,(419) 533-5011
047597,Patrick Henry Local,6900 State Route 18,Hamler,43524-9781,Henry,Region 1,Joshua M. Biederstedt,(419) 274-3015
047613,Bright Local,44 N High St,Mowrystown,45155-0299,Highland,Region 14,JASON T. ILES,(937) 442-3114
047621,Fairfield Local,11611 State Route 771,Leesburg,45135-8601,Highland,Region 14,Kesia E. McCoy,(937) 780-2221
047639,Lynchburg-Clay Local,301 E Pearl St,Lynchburg,45142,Highland,Region 14,Ronald L. Sexton,(937) 364-2338
047688,East Holmes Local,4535 TR 367,Millersburg,44654-9136,Holmes,Region 12,Erik H. Beun,(330) 893-2610
047696,West Holmes Local,28 W Jackson St,Millersburg,44654-1302,Holmes,Region 9,Eric J. Jurkovic,(330) 674-3546
047712,Monroeville Local,101 West St,Monroeville,44847-9797,Huron,Region 2,Kristin L. Jones,(419) 465-2610
047720,New London Local,2 Wildcat Dr,New London,44851-9262,Huron,Region 2,Bradley A. Romano,(419) 929-1586
047738,South Central Local,3305 Greenwich Angling Rd,Greenwich,44837-9443,Huron,Region 2,Benjamin H. Chaffee Jr,(419) 752-3815
047746,Western Reserve Local,3765 US Rt 20,Collins,44826,Huron,Region 2,William B. Snyder,(419) 660-8508
047761,Oak Hill Union Local,205 Western Ave,Oak Hill,45656-1068,Jackson,Region 16,Jason A. Mantell,(740) 682-7595
047787,Buckeye Local,6899 State Highway 150,Dillonvale,43917-7904,Jefferson,Region 12,Coy M. Sudvary,(740) 769-7395
047795,Edison Local,14890 State Route 213,Hammondsville,43930-7902,Jefferson,Region 12,George W. Beattie,(330) 532-3199
047803,Indian Creek Local,100 Park Dr,Wintersville,43953-4231,Jefferson,Region 12,Thomas C. Chappelear,(740) 264-3502
047829,Centerburg Local,119 S Preston St,Centerburg,43011-7058,Knox,Region 7,Ryan S. Gallwitz,(740) 625-6346
047837,Danville Local,203 S Richards St,Danville,43014-9609,Knox,Region 7,Jason T. Snively,(740) 599-6116
047845,East Knox Local,23201 Coshocton Rd,Howard,43028-9362,Knox,Region 7,Richard J. Baird,(740) 599-7000
047852,Fredericktown Local,117 Columbus Rd,Fredericktown,43019-1272,Knox,Region 7,Gary L. Chapman,(740) 694-2956
047878,Kirtland Local,9252 Chillicothe Rd,Kirtland,44094-9298,Lake,Region 4,Chad M. VanArnhem,(440) 256-3360
047886,Madison Local,1956 Red Bird Rd,Madison,44057-2122,Lake,Region 4,Angela M. Smith,(440) 428-2166
047894,Riverside Local,585 Riverside Dr,Painesville,44077-5323,Lake,Region 4,Christopher J. Rateno,(440) 352-0668
047902,Perry Local,4325 Manchester Ave,Perry,44081-9413,Lake,Region 4,Jack K. Thompson,(440) 259-9200
047928,Dawson-Bryant Local,701 High St,Coal Grove,45638-2947,Lawrence,Region 15,Ellen F. Adkins,(740) 532-6451
047936,Fairland Local,228 Private Drive 10010,Proctorville,45669-8600,Lawrence,Region 15,Roni D. Hayes,(740) 886-3100
047944,Rock Hill Local,2325A Co. Rd. 26,Ironton,45638-8385,Lawrence,Region 15,Glenn D. Hopper,(740) 532-7030
047951,South Point Local,302 High St,South Point,45680,Lawrence,Region 15,Chris A. Mathes,(740) 377-4315
047969,Symmes Valley Local,14778 State Route 141,Willow Wood,45696-9015,Lawrence,Region 15,Gregory S. Bowman,(740) 643-2451
047985,Johnstown-Monroe Local,85 W Douglas St,Johnstown,43031-1297,Licking,Region 11,Philip H. Wagner,(740) 967-6846
047993,Lakewood Local,525 E Main St,Hebron,43025-9702,Licking,Region 11,Timothy S. Coffey,(740) 928-5878
048009,Licking Heights Local,6539 Summit Rd SW,Pataskala,43062-8767,Licking,Region 11,Kevin S. Miller,(740) 927-6926
048017,Licking Valley Local,1379 Licking Valley Rd,Newark,43055-9450,Licking,Region 11,Scott A. Beery,(740) 763-3525
048025,North Fork Local,312 Maple Ave,Utica,43080-9756,Licking,Region 11,Scott L. Hartley,(740) 892-3666
048033,Northridge Local,6097 Johnstown Utica Rd,Johnstown,43031-9408,Licking,Region 11,Kristine T. Michael,(740) 967-6631
048041,Southwest Licking Local,927-A South Street,Pataskala,43062,Licking,Region 11,Kasey A. Rathburn,(740) 927-3941
048074,Benjamin Logan Local,4740 County Road 26,Bellefontaine,43311-9532,Logan,Region 6,John F. Scheu,(937) 593-9211
048082,Indian Lake Local,6210 State Route 235 N,Lewistown,43333-9704,Logan,Region 6,Robert J. Underwood,(937) 686-8601
048090,Riverside Local,2096 County Road 24 S,De Graff,43318-9406,Logan,Region 6,Scott M. Mann,(937) 585-5981
048116,Avon Local,36600 Detroit Rd,Avon,44011-1507,Lorain,Region 2,Benjamin P. Hodge,(440) 937-4680
048124,Avon Lake City,175 Avon Belden Rd,Avon Lake,44012-1600,Lorain,Region 2,Joelle M. Magyar,(440) 933-6210
048132,Clearview Local,4700 Broadway,Lorain,44052-5542,Lorain,Region 2,Jerome M. Davis,(440) 233-5412
048140,Columbia Local,25796 Royalton Rd,Columbia Station,44028-9441,Lorain,Region 2,Graig P. Bansek,(440) 236-5008
048157,Firelands Local,112 N Lake St,South Amherst,44001-2824,Lorain,Region 2,Michael J. Von Gunten,(440) 965-5821
048165,Keystone Local,531 Opportunity Way,Lagrange,44050-9016,Lorain,Region 2,Zachary C. Weagley,(440) 355-2424
048173,Midview Local,13050 Durkee Rd,Grafton,44044-1122,Lorain,Region 2,Francis M. Major,(440) 748-5353
048207,Anthony Wayne Local,9565 Bucher Rd,Whitehouse,43571-9366,Lucas,Region 1,Kevin L. Herman,(419) 877-5377
