District IRN,District Name,Address,City,ZIP Code,County,Region,Superintendent,District Phone
048215,Ottawa Hills Local,4035 W Central Ave,Toledo,43606-2425,Lucas,Region 1,Adam D. Fineske,(419) 536-6371
048223,Springfield Local,6924 Spring Valley Dr,Holland,43528-9485,Lucas,Region 1,Matthew K. Geha,(419) 867-5600
048231,Washington Local,3505 W Lincolnshire Blvd,Toledo,43606-1231,Lucas,Region 1,Kristine K. Martin,(419) 473-8220
048256,Jefferson Local,906 W Main St,West Jefferson,43162-1144,Madison,Region 11,William R. Mullett,(614) 879-7654
048264,Jonathan Alder Local,9200 Us Highway 42 S,Plain City,43064,Madison,Region 11,James N. Miller,(614) 873-5621
048272,Madison-Plains Local,55 Linson Rd,London,43140-9751,Madison,Region 11,Chadwick R. Eisler,(740) 852-0290
048298,Austintown Local Schools,700 S Raccoon Rd,Youngstown,44515-3536,Mahoning,Region 5,Timothy S. Kelty,(330) 797-3900
048306,Boardman Local,7777 Glenwood Ave,Youngstown,44512-5612,Mahoning,Region 5,Christopher S. Neifer,(330) 726-3404
048314,Canfield Local,100 Wadsworth St,Canfield,44406-1451,Mahoning,Region 5,Joseph A. Knoll,(330) 533-3303
048322,Jackson-Milton Local,13910 Mahoning Ave,North Jackson,44451-9616,Mahoning,Region 5,Kirk W. Baker,(330) 538-3232
048330,Lowellville Local,52 Rocket Place,Lowellville,44436,Mahoning,Region 5,Christine M. Sawicki,(330) 536-6318
048348,Poland Local,3030 Dobbins Rd,Poland,44514-2327,Mahoning,Region 5,Craig D. Hockenberry,(330) 757-7000
048355,Sebring Local,510 N 14th St,Sebring,44672-1400,Mahoning,Region 5,Antoinette C. Viscounte,(330) 938-6165
048363,South Range Local,11300 Columbiana Canfield Rd Ste B,Canfield,44406-8485,Mahoning,Region 5,Jarred T. Zapolnik,(330) 549-5226
048371,Springfield Local,11335 Youngstown Pittsburgh Rd,New Middletown,44442-8724,Mahoning,Region 5,Rachael A. Smith,(330) 542-2929
048389,West Branch Local,14277 S Main St,Beloit,44609-9504,Mahoning,Region 5,Mary J. Egli,(330) 938-9324
048397,Western Reserve Local,13850 W Akron Canfield Rd,Berlin Center,44401-9752,Mahoning,Region 5,Dallas J. Saunders,(330) 547-4100
048413,Elgin Local,1239 Keener Rd S,Marion,43302-1110,Marion,Region 7,Lane A. Warner,(740) 382-1101
048421,Pleasant Local,1117 Owens Rd W,Marion,43302-8421,Marion,Region 7,Thomas McDonnell,(740) 389-4476
048439,Ridgedale Local,3103 Hillman Ford Rd,Morral,43337-9302,Marion,Region 7,Erika S. Bower,(740) 382-6065
048447,River Valley Local,197 Brockelsby Road,Caledonia,43314,Marion,Region 7,Adam K. Wickham,(740) 725-5401
048462,Black River Local,257A County Road 40,Sullivan,44880-9731,Medina,Region 7,Anthony J. Stretar,(419) 736-3300
048470,Buckeye Local,3044 Columbia Rd,Medina,44256-9411,Medina,Region 8,Jeffrey M. Stanton,(330) 722-8257
048488,Cloverleaf Local,8525 Friendsville Rd,Lodi,44254-9706,Medina,Region 8,Daryl G. Kubilus Jr,(330) 302-0303
048496,Highland Local,3880 Ridge Rd,Medina,44256-7920,Medina,Region 8,Catherine L. Aukerman,(330) 239-1901
048512,Eastern Local,50008 State Route 681,Reedsville,45772-9022,Meigs,Region 16,NICHOLAS DETTWILLER,(740) 667-6079
048520,Meigs Local,41765 Pomeroy Pike,Pomeroy,45769-9411,Meigs,Region 16,Scot F. Gheen,(740) 992-2153
048538,Southern Local,106 N Broadway St,Racine,45771-5013,Meigs,Region 16,Anthony W. Deem,(740) 949-2661
048553,Marion Local,7956 State Route 119,Maria Stein,45860-9710,Mercer,Region 6,Michael L. Pohlman,(419) 925-4294
048579,Parkway Local,400 Buckeye St,Rockford,45882-9267,Mercer,Region 6,Jean M. Osterfeld,(419) 363-3045
048587,St Henry Consolidated Local,391 E Columbus St,Saint Henry,45883-9574,Mercer,Region 6,Adam Puthoff,(419) 678-4834
048595,Fort Recovery Local,400 E Butler St,Fort Recovery,45846,Mercer,Region 6,Anthony T. Stahl,(419) 375-4139
048611,Bethel Local,7490 State Route 201,Tipp City,45371-7316,Miami,Region 10,Michael E. Nutter,(937) 845-9414
048629,Miami East Local,3825 N State Route 589,Casstown,45312-9707,Miami,Region 10,Eric R. Hughes,(937) 335-7505
048637,Newton Local,201 N Long St,Pleasant Hill,45359,Miami,Region 10,Danielle L. Davis,(937) 676-2002
048652,Switzerland of Ohio Local,304 Mill St,Woodsfield,43793-1256,Monroe,Region 12,Philip M. Ackerman,(740) 472-5801
048678,Brookville Local,75 June Pl,Brookville,45309-1621,Montgomery,Region 10,Jason E. Wood,(937) 833-2181
048686,Jefferson Township Local,2625 S Union Rd,Dayton,45417-5535,Montgomery,Region 10,Rusty G. Clifford,(937) 835-5682
048694,Trotwood-Madison City,3594 N Snyder Rd,Trotwood,45426-3835,Montgomery,Region 10,Marlon A. Howard,(937) 854-3050
048702,Mad River Local,801 Old Harshman Rd,Dayton,45431-1238,Montgomery,Region 10,Chad M. Wyen,(937) 259-6606
048710,New Lebanon Local School District,320 S Fuls Rd,New Lebanon,45345,Montgomery,Region 10,Greg A. Williams,(937) 687-1301
048728,Northmont City,4001 Old Salem Rd,Englewood,45322-2681,Montgomery,Region 10,Anthony R. Thomas,(937) 832-5000
048736,Northridge Local,2008 Timber Ln,Dayton,45414-4528,Montgomery,Region 10,David A. Jackson,(937) 278-5885
048744,Valley View Local,59 Peffley St,Germantown,45327-1021,Montgomery,Region 10,Andrea L. Cook,(937) 855-6581
048751,Huber Heights City,5954 Longford Rd,Huber Heights,45424-2943,Montgomery,Region 10,Jason W. Enix,(937) 237-6300
048777,Morgan Local,65 W Union Ave,Mc Connelsville,43756-1218,Morgan,Region 12,Kristin E. Barker,(740) 962-2782
048793,Cardington-Lincoln Local,121 Nichols St,Cardington,43315-1121,Morrow,Region 7,Todd D. Spinner,(419) 864-3691
048801,Highland Local,6506 State Route 229,Marengo,43334-9738,Morrow,Region 7,Nathan D. Huffman,(419) 768-2206
048819,Northmor Local,5247 County Road 29,Galion,44833-9654,Morrow,Region 7,Chad A. Redmon,(419) 946-8861
048835,East Muskingum Local,13505 John Glenn School Rd,New Concord,43762-9702,Muskingum,Region 12,David C. Adams,(740) 826-7655
048843,Franklin Local,360 Cedar St,Duncan Falls,43734-9710,Muskingum,Region 12,Kacey R. Cottrill,(740) 674-5203
048850,Maysville Local,3715 Panther Dr,Zanesville,43701-7086,Muskingum,Region 12,Brian S. Blum,(740) 453-0754
048876,Tri-Valley Local,36 E Muskingum Ave,Dresden,43821-9701,Muskingum,Region 12,Mark K. Neal,(740) 754-1442
048884,West Muskingum Local,4880 West Pike,Zanesville,43701-9390,Muskingum,Region 12,Chad J. Shawger,(740) 455-4052
048900,Noble Local,20977 Zep Rd E,Sarahsville,43779-9702,Noble,Region 12,Justin P. Denius,(740) 732-2084
048926,Benton Carroll Salem Local,11685 W State Route 163,Oak Harbor,43449-1278,Ottawa,Region 1,Cathy S. Bergman,(419) 898-6210
048934,Danbury Local,9451 E Harbor Rd,Lakeside Marblehead,43440-1310,Ottawa,Region 1,Cari L. Buehler,(419) 798-5185
048942,Genoa Area Local,2810 N Genoa Clay Center Rd,Genoa,43430-9730,Ottawa,Region 1,Dennis R. Mock,(419) 855-7741
048975,Put-In-Bay Local,548 Catawba Ave.,Put-in-Bay,43456,Ottawa,Region 1,Scott J. Mangas,(419) 285-3614
048991,Antwerp Local,303 S. Harrmann Rd,Antwerp,45813,Paulding,Region 1,Martin A. Miller,(419) 258-5421
049031,Wayne Trace Local,4915 US Route 127,Haviland,45851-9738,Paulding,Region 1,Paul R. Jones,(419) 263-2415
049056,Northern Local,8700 Sheridan Dr,Thornville,43076-9757,Perry,Region 12,Angela L. Gussler,(740) 743-1303
049064,Southern Local,10397 State Route 155 SE # 1,Corning,43730-9710,Perry,Region 16,Annette M. Losco,(740) 721-0520
049080,Logan Elm Local,9579 Tarlton Rd,Circleville,43113-9448,Pickaway,Region 11,Timothy L. Williams,(740) 474-7501
049098,Teays Valley Local,385 Viking Way,Ashville,43103-9417,Pickaway,Region 11,Kyle D. Wolfe,(740) 983-5000
049106,Westfall Local,19463 Pherson Pike,Williamsport,43164-9745,Pickaway,Region 11,Jason R. Fife,(740) 986-3671
049122,Eastern Local School District,1170 Tile Mill Rd,Beaver,45613-9435,Pike,Region 15,Rick L. Bowman,(740) 226-4851
049130,Scioto Valley Local,1414 Piketon Rd,Piketon,45661-9801,Pike,Region 15,Wesley L. Hairston,(740) 289-4456
049148,Waverly City,1 Tiger Dr,Waverly,45690-8704,Pike,Region 15,William J. Hoover,(740) 947-4770
049155,Western Local,7959 State Route 124,Latham,45646-9701,Pike,Region 15,Brock D. Brewster,(740) 493-3113
049171,Aurora City,102 E Garfield Rd,Aurora,44202-8854,Portage,Region 8,Michael J. Roberto,(330) 562-6106
049189,Crestwood Local,10880 John Edward Dr,Mantua,44255-9454,Portage,Region 8,Aireane L. Curtis,(330) 357-8206
049197,Field Local,2900 State Route 43,Mogadore,44260-9715,Portage,Region 8,David O. Heflinger,(330) 673-2659
049205,James A Garfield Local,10235 State Route 88,Garrettsville,44231-9205,Portage,Region 8,Ted A. Lysiak,(330) 527-4336
049213,Rootstown Local,4140 State Route 44,Rootstown,44272-9697,Portage,Region 8,Andrew A. Hawkins,(330) 325-9911
049221,Southeast Local,8245 Tallmadge Rd,Ravenna,44266-8547,Portage,Region 8,Robert C. Dunn,(330) 654-5841
049239,Streetsboro City,9000 Kirby Ln,Streetsboro,44241-1725,Portage,Region 8,Cynthia M. Deevers,(330) 626-4900
049247,Waterloo Local,1464 Industry Rd,Atwater,44201-9349,Portage,Region 8,Joseph P. Clark,(330) 947-2664
049270,National Trail Local,6940 Oxford Gettysburg Rd,New Paris,45347-9065,Preble,Region 10,Jennifer S. Couch,(937) 437-3333
049288,Preble Shawnee Local,5495 Somers Gratis Rd,Camden,45311-1154,Preble,Region 10,Todd D. Bowling,(937) 452-1283
049296,Twin Valley Community Local,100 Education Dr,West Alexandria,45381-1184,Preble,Region 10,Scott E. Cottingim,(937) 839-4688
049312,Columbus Grove Local,201 W Cross St,Columbus Grove,45830-1237,Putnam,Region 1,George N. Verhoff,(419) 659-2639
049320,Continental Local,5211 State Route 634,Continental,45831-9155,Putnam,Region 1,Danny F. Kissell,(419) 596-3671
049338,Jennings Local,#1 Musketeer Drive,Fort Jennings,45844-9632,Putnam,Region 1,Nicholas T. Langhals,(419) 286-2238
049346,Kalida Local,301 North Third St.,Kalida,45853,Putnam,Region 1,Karl D. Lammers,(419) 532-3534
049353,Leipsic Local,232 Oak St,Leipsic,45856-1312,Putnam,Region 1,Greg A. Williamson,(419) 943-2165
049361,Miller City-New Cleveland Local,200 N. Main Street,Miller City,45864,Putnam,Region 1,Kerry D. Johnson,(419) 876-3172
049379,Ottawa-Glandorf Local,630 Glendale Ave,Ottawa,45875-1162,Putnam,Region 1,Donald T. Horstman,(419) 523-5261
049387,Ottoville Local,650 W 3rd St,Ottoville,45876,Putnam,Region 1,Jarrod J. Wehri,(419) 453-3356
049395,Pandora-Gilboa Local,410 Rocket Ridge,Pandora,45877-0389,Putnam,Region 1,R. Todd T. Schmutz,(419) 384-3227
049411,Clear Fork Valley Local,211 School St,Bellville,44813-1232,Richland,Region 7,John E. Thomas,(419) 886-3855
049429,Crestview Local,1575 State Route 96,Ashland,44805-9262,Richland,Region 7,James M. Grubbs,(419) 895-1700
049437,Lexington Local,103 Clever Ln,Lexington,44904-1209,Richland,Region 7,Jeremy R. Secrist,(419) 884-2132
049445,Lucas Local,84 Lucas North Rd,Lucas,44843-9532,Richland,Region 7,Bradley A. Herman,(419) 892-2338
049452,Madison Local,1379 Grace St,Mansfield,44905-2742,Richland,Region 7,Robert S. Peterson,(419) 589-2600
049460,Plymouth-Shiloh Local,365 Sandusky St,Plymouth,44865-1135,Richland,Region 7,Bradley J. Turson,(419) 687-4733
049478,Ontario Local,457 Shelby Ontario Rd,Ontario,44906-1029,Richland,Region 7,Dale Strickler,(419) 747-4311
049494,Adena Local,3367 County Road 550,Frankfort,45628-9503,Ross,Region 15,Matthew C. Unger,(740) 998-4633
049502,Huntington Local,188 Huntsman Rd,Chillicothe,45601-9378,Ross,Region 15,Peter T. Ruby,(740) 663-5892
049510,Paint Valley Local,7454 Us Highway 50 W,Bainbridge,45612-9708,Ross,Region 15,Timothy J. Winland,(740) 634-2826
049528,Southeastern Local,2003 Lancaster Rd,Chillicothe,45601-8213,Ross,Region 15,Brian Justice,(740) 774-2003
049536,Union-Scioto Local,1565 Egypt Pike,Chillicothe,45601-3974,Ross,Region 15,Matthew G. Thornsberry,(740) 773-4102
049544,Zane Trace Local,946 State Route 180,Chillicothe,45601-8141,Ross,Region 15,Tyler L. Wertman,(740) 775-1355
049569,Lakota Local,5200 County Road 13,Kansas,44841-9617,Sandusky,Region 1,Chad D. Coffman,(419) 986-6650
049577,Woodmore Local,349 Rice St,Elmore,43416-9404,Sandusky,Region 1,MARY K. SCHAEFFER,(419) 862-1060
049593,Bloom-Vernon Local,10529 Main Street,South Webster,45682-0237,Scioto,Region 15,Marc L. Kreischer,(740) 778-2281
049601,Clay Local,44 Clay High St,Portsmouth,45662-8817,Scioto,Region 15,William T. Warnock,(740) 354-6645
049619,Green Local,4057 Gallia Pike,Franklin Furnace,45629-8889,Scioto,Region 15,Jodi B. Armstrong,(740) 354-9221
049627,Minford Local,491 Bond Rd,Minford,45653,Scioto,Region 15,Jeremy A. Litteral,(740) 820-3896
049635,Northwest Local,800 Mohawk Dr,Mc Dermott,45652-9000,Scioto,Region 15,Anthony T. Jenkins,(740) 259-5558
049643,Valley Local,1821 State Route 728,Lucasville,45648-8510,Scioto,Region 15,Jeffrey S. Rolfe,(740) 259-3115
049650,Washington-Nile Local,15332 Us Highway 52,West Portsmouth,45663-9093,Scioto,Region 15,Anthony L. Bazler,(740) 858-1111
049668,Wheelersburg Local,620 Center St,Wheelersburg,45694-1701,Scioto,Region 15,Mark W. Knapp,(740) 574-8484
049684,Seneca East Local,13343 E US Highway 224,Attica,44807-9301,Seneca,Region 7,Laura A. Kagy,(419) 426-7041
049700,Hopewell-Loudon Local,181 N. CR 7,BASCOM,44809,Seneca,Region 7,Matthew P. White,(419) 937-2216
049718,New Riegel Local,44 N Perry St,New Riegel,44853-9776,Seneca,Region 7,David A. Rombach,(419) 595-2265
049726,Old Fort Local,7635 N County Rd 51,Tiffin,44883,Seneca,Region 7,Cynthia M. Endsley,(419) 992-4291
049759,Anna Local,1 McRill Way,Anna,45302,Shelby,Region 6,Andrew A. Bixler,(937) 394-2011
049767,Botkins Local,404 E State St,Botkins,45306-8006,Shelby,Region 6,Jeffrey T. McPheron,(937) 693-3756
049775,Fairlawn Local,18800 Johnston Rd,Sidney,45365-9755,Shelby,Region 6,John E. Holtzapple,(937) 492-1974
049783,Fort Loramie Local,575 Greenback Rd,Fort Loramie,45845-9366,Shelby,Region 6,Daniel B. Holland,(937) 295-3931
049791,Hardin-Houston Local,5300 Houston Rd,Houston,45333-8630,Shelby,Region 6,Ryan D. Maier,(937) 295-3010
049809,Jackson Center Local,204 S Linden St,Jackson Center,45334,Shelby,Region 6,William M. Reichert,(937) 596-6053
049817,Russia Local,100 School St,Russia,45363,Shelby,Region 6,Steven J. Rose,(937) 526-3156
049833,Canton Local,600 Faircrest St SE,Canton,44707-1118,Stark,Region 9,Brett R. Yeagley,(330) 484-8010
049841,Fairless Local,800 7th St SE,Brewster,44613-9485,Stark,Region 9,Michael C. Hearn,(330) 767-3577
049858,Jackson Local,7602 Fulton Dr NW,Massillon,44646-9393,Stark,Region 9,Christopher A. Diloreto,(330) 830-8000
049866,Lake Local,436 King Church Ave SW,Uniontown,44685,Stark,Region 9,Kevin T. Tobin,(330) 877-9383
049874,Louisville City,407 E Main St,Louisville,44641-1419,Stark,Region 9,Michele M. Shaffer,(330) 875-1666
049882,Marlington Local,10320 Moulin Ave NE,Alliance,44601-5906,Stark,Region 9,Daniel A. Swisher,(330) 823-7458
049890,Minerva Local,406 East St,Minerva,44657-1429,Stark,Region 9,Gary M. Chaddock,(330) 868-4332
049908,Northwest Local,2309 Locust St S,Canal Fulton,44614-9389,Stark,Region 9,Shawn M. Braman,(330) 854-2291
049916,Osnaburg Local,310 Browning Ct N,East Canton,44730-1248,Stark,Region 9,Kevin R. Finefrock,(330) 488-1609
049924,Perry Local,4201 13th St SW,Massillon,44646-3447,Stark,Region 9,Nathan A. Stutz,(330) 477-8121
049932,Plain Local,901 44th St NW,Canton,44709-1611,Stark,Region 9,Brent W. May,(330) 492-3500
049940,Sandy Valley Local,5362 State Route 183 NE,Magnolia,44643-8481,Stark,Region 9,David J. Fischer,(330) 866-3339
049957,Tuslaw Local,1835 Manchester Ave NW,Massillon,44647-9623,Stark,Region 9,Melissa M. Marconi,(330) 837-7813
049973,Woodridge Local,4411 Quick Rd,Peninsula,44264-9706,Summit,Region 8,Necole C. Ast,(330) 928-9074
049981,Copley-Fairlawn City,3797 Ridgewood Rd,Copley,44321-1665,Summit,Region 8,Aimee A. Kirsch,(330) 664-4800
049999,Coventry Local,3257 Cormany Rd,Coventry Township,44319-1849,Summit,Region 8,George E. Fisk,(330) 644-8489
050005,Manchester Local,6075 Manchester Rd,Akron,44319-4654,Summit,Region 8,Gary M. Hinton,(330) 882-6926
050013,Green Local,1755 Town Park Blvd,Uniontown,44685-7970,Summit,Region 8,Jeffrey L. Miller II,(330) 896-7500
050021,Hudson City,76 N Hayden Pkwy,Hudson,44236-2322,Summit,Region 8,Dana W. Addis,(330) 653-1200
050039,Mogadore Local,1 S Cleveland Ave,Mogadore,44260-1514,Summit,Region 8,John A. Knapp,(330) 628-9946
050047,Nordonia Hills City,9370 Olde Eight Rd,Northfield,44067,Summit,Region 8,Casey Wright,(330) 467-0580
050054,Revere Local,3496 Everett Rd,Richfield,44286-9730,Summit,Region 8,Daniel L. White,(330) 666-4155
050062,Springfield Local,2141 Pickle Rd,Akron,44312-4258,Summit,Region 8,Shelley Monachino,(330) 798-1111
050070,Twinsburg City,11136 Ravenna Rd,Twinsburg,44087-1022,Summit,Region 8,Kathryn M. Powers,(330) 486-2000
050096,Bloomfield-Mespo Local,2077 Park Rd W,North Bloomfield,44450-0730,Trumbull,Region 5,Gregory C. Isler,(440) 685-4711
050112,Bristol Local,1845 State Route 88,Bristolville,44402-9700,Trumbull,Region 5,Christopher J. Dray,(330) 889-3882
050120,Brookfield Local,614 Bedford Rd SE,Brookfield,44403-9756,Trumbull,Region 5,William T. Gibson,(330) 448-4930
050138,Champion Local,5976 Mahoning Ave NW,Warren,44483-1144,Trumbull,Region 5,John J. Grabowski,(330) 847-2330
050153,Mathews Local,4096 Cadwallader Sonk Rd,Cortland,44410-9445,Trumbull,Region 5,Russell T. McQuaide,(330) 637-3500
050161,Howland Local,8200 South St SE,Warren,44484-2447,Trumbull,Region 5,Kevin R. Spicher,(330) 856-8200
050179,Joseph Badger Local,7119 State Route 7,Kinsman,44428-9788,Trumbull,Region 5,Edwin J. Baldwin,(330) 876-2800
050187,Lakeview Local,300 Hillman Dr,Cortland,44410-1562,Trumbull,Region 5,Ashley J. Handrych,(330) 637-8741
050195,Liberty Local,4115 Shady Rd,Youngstown,44505-1353,Trumbull,Region 5,Brian C. Knight,(330) 759-0807
050203,Lordstown Local,1824 Salt Springs Rd,Warren,44481-9735,Trumbull,Region 5,Gregory T. Bonamase,(330) 824-2535
050211,Maplewood Local,2414 Greenville Rd,Cortland,44410-9648,Trumbull,Region 5,Perry D. Nicholas,(330) 637-7506
050229,McDonald Local,600 Iowa Ave,Mc Donald,44437-1677,Trumbull,Region 5,Kevin R. O'Connell,(330) 530-8051
050237,Southington Local,2482 State Route 534,Southington,44470-9524,Trumbull,Region 5,Rocco Nero,(330) 898-7480
050245,LaBrae Local,1001 N Leavitt Rd,Leavittsburg,44430-9644,Trumbull,Region 5,Anthony J. Calderone,(330) 898-1393
050252,Weathersfield Local,1334 Seaborn St,Mineral Ridge,44440-9571,Trumbull,Region 5,Damon J. Dohar,(330) 652-0287
050278,Garaway Local,146 Dover Rd NW,Sugarcreek,44681-9309,Tuscarawas,Region 12,James A. Millet,(330) 852-2421
050286,Indian Valley Local,100 N Walnut St,Gnadenhutten,44629,Tuscarawas,Region 12,Gary I. Wentworth,(740) 254-4334
050294,Strasburg-Franklin Local,140 N Bodmer Ave,Strasburg,44680-1122,Tuscarawas,Region 12,Vincent J. Lindsey,(330) 878-5571
050302,Tuscarawas Valley Local,2637 Tuscarawas Valley Rd NE,Zoarville,44656-9692,Tuscarawas,Region 12,Derek J. Varansky,(330) 859-2213
050328,Fairbanks Local,11158 State Route 38,Milford Center,43045-9764,Union,Region 11,Adham C. Schirg,(937) 349-9000
050336,North Union Local School District,12920 State Route 739,Richwood,43344-9728,Union,Region 11,Justin M. Ufferman,(740) 943-2509
050351,Crestview Local,531 E Tully St,Convoy,45832-8864,Van Wert,Region 1,Kathleen R. Mollenkopf,(419) 749-9100
050369,Lincolnview Local,15945 Middle Point Rd,Van Wert,45891-9769,Van Wert,Region 1,Jeffrey T. Snyder,(419) 968-2226
050393,Vinton County Local,307 W High St,Mc Arthur,45651-1093,Vinton,Region 16,Rick L. Brooks,(740) 596-5218
050419,Carlisle Local,230 Jamaica Rd,Carlisle,45005-3106,Warren,Region 13,Robert O. Fischer,(937) 746-0710
050427,Springboro Community City,1685 S Main St,Springboro,45066-1524,Warren,Region 13,Carrie L. Hester,(937) 748-3960
050435,Kings Local,1797 King Ave,Kings Mills,45034,Warren,Region 13,Gregory M. Sears,(513) 398-8050
050443,Little Miami Local,95 E Us Highway 22 And 3,Maineville,45039-8098,Warren,Region 13,Regina G. Morgan,(513) 899-2264
050450,Mason City,211 N East St,Mason,45040-1760,Warren,Region 13,Jonathan M. Cooper,(513) 398-0474
050468,Wayne Local,625 Dayton Rd,Waynesville,45068-9588,Warren,Region 13,Samuel R. Ison,(513) 897-6971
050484,Fort Frye Local,510 5th St,Beverly,45715-8916,Washington,Region 16,Stephanie D. Starcher,(740) 984-2497
050492,Frontier Local,44870 State Route 7,New Matamoras,45767-6149,Washington,Region 16,Beth A. Brown,(740) 865-3473
050500,Warren Local,220 Sweetapple Rd,Vincent,45784-5005,Washington,Region 16,Kyle R. Newton,(740) 678-2366
050518,Wolf Creek Local,330 Main St,Waterford,45786-0067,Washington,Region 16,Douglas A. Baldwin,(740) 984-2373
050534,Chippewa Local,56 N Portage St,Doylestown,44230-1350,Wayne,Region 9,Todd S. Osborn,(330) 658-6368
050542,Dalton Local,177 Mill St N,Dalton,44618-9468,Wayne,Region 9,Steven R. Watkins,(330) 828-2405
050559,Green Local,100 Smithie Drive,Smithville,44677,Wayne,Region 9,Dean E. Frank,(330) 669-3921
050567,Norwayne Local,350 S Main St,Creston,44217-9665,Wayne,Region 9,Kevin T. Leatherman,(330) 435-6382
050575,Northwestern Local,7571 N Elyria Rd,West Salem,44287-9707,Wayne,Region 9,Jeffrey N. Layton,(419) 846-3151
050583,Southeast Local,9048 Dover Rd,Apple Creek,44606-9408,Wayne,Region 9,James J. Ritchie,(330) 698-3001
050591,Triway Local,3205 Shreve Rd,Wooster,44691-4439,Wayne,Region 9,Nathan G. Schindewolf,(330) 264-9491
050617,Edgerton Local,111 E River St,Edgerton,43517-9623,Williams,Region 1,Benjamin H. Wilhelm,(419) 298-2112
050625,Edon Northwest Local,802 W Indiana St,Edon,43518-9627,Williams,Region 1,Anthony J. Stevens,(419) 272-3213
050633,Millcreek-West Unity Local,1401 W Jackson St,West Unity,43570-9465,Williams,Region 1,Steven J. Riley,(419) 924-2365
050641,North Central Local,400 E Baubice St,Pioneer,43554-9637,Williams,Region 1,Michael L. Bute,(419) 737-2392
050658,Stryker Local,400 S Defiance St,Stryker,43557-9307,Williams,Region 1,Nate R. Johnson,(419) 682-6961
050674,Eastwood Local,120 E College Ave,Pemberville,43450-9626,Wood,Region 1,William B. Welker,(419) 833-6411
050682,Elmwood Local,7650 Jerry City Rd,Bloomdale,44817-9763,Wood,Region 1,Tony D. Borton,(419) 655-2583
050690,Lake Local,28090 Lemoyne Rd,Millbury,43447-9747,Wood,Region 1,Marjoe Cooper,(419) 661-6690
050708,North Baltimore Local,201 S Main St,North Baltimore,45872-1354,Wood,Region 1,Ryan G. Delaney,(419) 257-3531
050716,Northwood Local Schools,700 Lemoyne Rd,Northwood,43619-1810,Wood,Region 1,Jason R. Kozina,(419) 691-3888
050724,Otsego Local,18505 Tontogany Creek Rd Ste 1,Bowling Green,43402,Wood,Region 1,Kevin P. O'Shea,(419) 823-4381
050740,Mohawk Local,295 State Highway 231,Sycamore,44882-9434,Wyandot,Region 7,Andrew R. Sprang,(419) 927-2414
061903,Adams County Ohio Valley Local,141 Lloyd Rd,West Union,45693-8974,Adams,Region 14,Dawn Wallace,(937) 544-5586
065680,Gallia County Local,4836 State Route 325,Patriot,45658-8960,Gallia,Region 16,Phillip D. Kuhn,(740) 379-9085
069682,East Guernsey Local,65591 Wintergreen Rd,Lore City,43755-9715,Guernsey,Region 12,Michael G. Ferguson,(740) 489-5190
091397,Tri-County North Local,436 N Commerce St,Lewisburg,45338-0040,Preble,Region 10,William K. Derringer,(937) 962-2671
139303,Monroe Local,500 Yankee Rd,Monroe,45050-1068,Butler,Region 13,John R. Buskirk,(513) 539-2536
